"ID";"HGNC";"External Name"
"ENSSHAG00000000001";"CERCAM";"CERCAM"
"ENSSHAG00000000002";"SLC18A3";"SLC18A3"
"ENSSHAG00000000003";"NA";"NA"
"ENSSHAG00000000004";"NA";"NA"
"ENSSHAG00000000005";"NA";"NA"
"ENSSHAG00000000006";"NA";"NA"
"ENSSHAG00000000007";"NA";"NA"
"ENSSHAG00000000008";"NA";"NA"
"ENSSHAG00000000009";"NA";"NA"
"ENSSHAG00000000010";"NA";"NA"
"ENSSHAG00000000011";"ANKRD10";"ANKRD10"
"ENSSHAG00000000012";"NA";"NA"
"ENSSHAG00000000013";"TARBP1";"TARBP1"
"ENSSHAG00000000014";"HIST1H2BA";"HIST1H2BA"
"ENSSHAG00000000015";"NA";"NA"
"ENSSHAG00000000016";"SGMS1";"SGMS1"
"ENSSHAG00000000017";"NA";"NA"
"ENSSHAG00000000018";"NA";"NA"
"ENSSHAG00000000019";"NA";"NA"
"ENSSHAG00000000020";"MPHOSPH8";"MPHOSPH8"
"ENSSHAG00000000021";"SPTBN4";"SPTBN4"
"ENSSHAG00000000022";"NA";"NA"
"ENSSHAG00000000023";"NA";"NA"
"ENSSHAG00000000024";"NA";"NA"
"ENSSHAG00000000025";"NA";"NA"
"ENSSHAG00000000026";"HEBP2";"HEBP2"
"ENSSHAG00000000027";"TBC1D10C";"TBC1D10C"
"ENSSHAG00000000028";"C19orf35";"C19orf35"
"ENSSHAG00000000029";"FCER1A";"FCER1A"
"ENSSHAG00000000030";"NA";"NA"
"ENSSHAG00000000031";"GDF15";"GDF15"
"ENSSHAG00000000032";"GDF6";"GDF6"
"ENSSHAG00000000033";"NA";"NA"
"ENSSHAG00000000034";"STRN4";"STRN4"
"ENSSHAG00000000035";"NA";"NA"
"ENSSHAG00000000036";"OSCAR";"OSCAR"
"ENSSHAG00000000037";"SRPK3";"SRPK3"
"ENSSHAG00000000038";"CHUK";"CHUK"
"ENSSHAG00000000039";"CCDC172";"CCDC172"
"ENSSHAG00000000040";"TRIP4";"TRIP4"
"ENSSHAG00000000041";"ATP5S";"ATP5S"
"ENSSHAG00000000042";"SLC16A9";"SLC16A9"
"ENSSHAG00000000043";"NA";"NA"
"ENSSHAG00000000044";"B4GALT5";"B4GALT5"
"ENSSHAG00000000045";"NA";"NA"
"ENSSHAG00000000046";"NA";"NA"
"ENSSHAG00000000047";"MBL2";"MBL2"
"ENSSHAG00000000048";"NA";"NA"
"ENSSHAG00000000049";"NA";"NA"
"ENSSHAG00000000050";"SLC27A4";"SLC27A4"
"ENSSHAG00000000051";"AGPAT5";"AGPAT5"
"ENSSHAG00000000052";"ERGIC3";"ERGIC3"
"ENSSHAG00000000053";"NA";"NA"
"ENSSHAG00000000054";"NA";"NA"
"ENSSHAG00000000055";"NA";"NA"
"ENSSHAG00000000056";"NA";"NA"
"ENSSHAG00000000057";"NA";"NA"
"ENSSHAG00000000058";"MRPS11";"MRPS11"
"ENSSHAG00000000059";"NA";"NA"
"ENSSHAG00000000060";"NA";"NA"
"ENSSHAG00000000061";"SPAG4";"SPAG4"
"ENSSHAG00000000062";"NA";"NA"
"ENSSHAG00000000063";"ESRP2";"ESRP2"
"ENSSHAG00000000064";"JARID2";"JARID2"
"ENSSHAG00000000065";"MTDH";"MTDH"
"ENSSHAG00000000066";"PNPLA6";"PNPLA6"
"ENSSHAG00000000067";"NA";"NA"
"ENSSHAG00000000068";"NA";"NA"
"ENSSHAG00000000069";"NA";"NA"
"ENSSHAG00000000070";"LZTR1";"LZTR1"
"ENSSHAG00000000071";"NA";"NA"
"ENSSHAG00000000072";"NA";"NA"
"ENSSHAG00000000073";"EXOG";"EXOG"
"ENSSHAG00000000074";"PXN";"PXN"
"ENSSHAG00000000075";"THAP7";"THAP7"
"ENSSHAG00000000076";"CRHR2";"CRHR2"
"ENSSHAG00000000077";"CORO1C";"CORO1C"
"ENSSHAG00000000078";"NA";"NA"
"ENSSHAG00000000079";"HSF1";"HSF1"
"ENSSHAG00000000080";"DGAT1";"DGAT1"
"ENSSHAG00000000081";"ECM2";"ECM2"
"ENSSHAG00000000082";"NA";"NA"
"ENSSHAG00000000083";"NA";"NA"
"ENSSHAG00000000084";"STXBP2";"STXBP2"
"ENSSHAG00000000085";"PPAP2C";"PPAP2C"
"ENSSHAG00000000086";"NA";"NA"
"ENSSHAG00000000087";"NA";"NA"
"ENSSHAG00000000088";"PIK3CB";"PIK3CB"
"ENSSHAG00000000089";"PSMD8";"PSMD8"
"ENSSHAG00000000090";"NA";"NA"
"ENSSHAG00000000091";"CD200";"CD200"
"ENSSHAG00000000092";"RPS5";"RPS5"
"ENSSHAG00000000093";"NA";"NA"
"ENSSHAG00000000094";"SEC62";"SEC62"
"ENSSHAG00000000095";"AGO3";"AGO3"
"ENSSHAG00000000096";"TRPM4";"TRPM4"
"ENSSHAG00000000097";"ZNF497";"ZNF497"
"ENSSHAG00000000098";"NA";"NA"
"ENSSHAG00000000099";"NA";"NA"
"ENSSHAG00000000100";"NA";"NA"
"ENSSHAG00000000101";"NA";"NA"
"ENSSHAG00000000102";"NA";"NA"
"ENSSHAG00000000103";"SIRT2";"SIRT2"
"ENSSHAG00000000104";"NA";"NA"
"ENSSHAG00000000105";"FIS1";"FIS1"
"ENSSHAG00000000106";"EIF4H";"EIF4H"
"ENSSHAG00000000107";"NA";"NA"
"ENSSHAG00000000108";"COL18A1";"COL18A1"
"ENSSHAG00000000109";"NA";"NA"
"ENSSHAG00000000110";"RAD54L";"RAD54L"
"ENSSHAG00000000111";"RPS8";"RPS8"
"ENSSHAG00000000112";"NA";"NA"
"ENSSHAG00000000113";"TRIM58";"TRIM58"
