"Chromosome.Name" "Gene.Start" "Gene.End" "Transcript.Start" "Transcription.Start.Site" "Transcript.End" "Ensembl.Gene.ID" "HGNC.IDs" "Ensembl.Protein.Family.IDs"
"Chr5_supercontig_000000001" 26468 42308 26468 26468 42308 "ENSSHAG00000002231" "          " "ENSFM00250000000002"
"Chr5_supercontig_000000001" 71911 83070 71911 83070 83070 "ENSSHAG00000003708" "          " "ENSFM00660001157157"
"Chr5_supercontig_000000001" 94910 97847 94910 94910 97847 "ENSSHAG00000004228" "          " "ENSFM00500000276426"
"Chr5_supercontig_000000001" 156756 181038 156756 156756 181038 "ENSSHAG00000005410" "HGNC:2198 " "ENSFM00250000000184"
"Chr5_supercontig_000000001" 195768 206230 195768 195768 206230 "ENSSHAG00000005982" "HGNC:16014" "ENSFM00250000003509"
"Chr5_supercontig_000000001" 221297 242087 221297 242087 242087 "ENSSHAG00000006331" "HGNC:10808" "ENSFM00250000002718"
"Chr5_supercontig_000000003" 286143 296690 286143 286143 296690 "ENSSHAG00000001251" "          " "ENSFM00250000000002"
"Chr5_supercontig_000000005" 360974 384545 360974 360974 384545 "ENSSHAG00000002812" "HGNC:9232 " "ENSFM00250000000390"
"Chr5_supercontig_000000005" 420566 427054 420566 427054 427054 "ENSSHAG00000004379" "HGNC:9015 " "ENSFM00740001589602"
"Chr5_supercontig_000000005" 437165 451484 437165 437165 451484 "ENSSHAG00000004723" "HGNC:26082" "ENSFM00250000005377"
"Chr5_supercontig_000000005" 487853 605765 487853 605765 605765 "ENSSHAG00000005602" "HGNC:1850 " "ENSFM00560000770988"
"Chr5_supercontig_000000005" 684463 719964 684463 684463 719964 "ENSSHAG00000007903" "HGNC:29113" "ENSFM00250000002904"
"Chr5_supercontig_000000005" 684463 719964 687400 687400 719964 "ENSSHAG00000007903" "HGNC:29113" "ENSFM00250000002904"
"Chr5_supercontig_000000005" 734444 763929 734444 763929 763929 "ENSSHAG00000008393" "HGNC:19256" "ENSFM00250000002466"
"Chr5_supercontig_000000005" 815315 1070973 815315 815315 1070973 "ENSSHAG00000009035" "HGNC:1309 " "ENSFM00760001714764"
"Chr5_supercontig_000000006" 2651064 2651285 2651064 2651064 2651285 "ENSSHAG00000008791" "HGNC:21592" "ENSFM00640001109861"
"Chr5_supercontig_000000006" 4523236 4578258 4523236 4578258 4578258 "ENSSHAG00000016774" "HGNC:1102 " "ENSFM00480000262751"
"Chr5_supercontig_000000006" 4523236 4578258 4539628 4578258 4578258 "ENSSHAG00000016774" "HGNC:1102 " "ENSFM00480000262751"
"Chr5_supercontig_000000006" 4644056 4647238 4644056 4644056 4647238 "ENSSHAG00000017015" "HGNC:20721" "ENSFM00500000271721"
"Chr5_supercontig_000000006" 4659395 4665004 4659395 4665004 4665004 "ENSSHAG00000017040" "HGNC:19358" "ENSFM00600000921284"
"Chr5_supercontig_000000007" 4834206 4843765 4834206 4834206 4843765 "ENSSHAG00000005603" "HGNC:25559" "ENSFM00310000089049"
"Chr5_supercontig_000000008" 5018988 5143950 5018988 5143950 5143950 "ENSSHAG00000002141" "HGNC:25161" "ENSFM00800002003746"
