"ID";"HGNC";"External Name"
"ENSSHAT00000000001";"CERCAM";"CERCAM"
"ENSSHAT00000000002";"SLC18A3";"SLC18A3"
"ENSSHAT00000000003";NA;NA
"ENSSHAT00000000004";NA;NA
"ENSSHAT00000000005";NA;NA
"ENSSHAT00000000006";NA;NA
"ENSSHAT00000000007";NA;NA
"ENSSHAT00000000008";NA;NA
"ENSSHAT00000000009";NA;NA
"ENSSHAT00000000010";NA;NA
"ENSSHAT00000000011";"ANKRD10";"ANKRD10"
"ENSSHAT00000000012";NA;NA
"ENSSHAT00000000013";"TARBP1";"TARBP1"
"ENSSHAT00000000014";"HIST1H2BA";"HIST1H2BA"
"ENSSHAT00000000015";NA;NA
"ENSSHAT00000000016";"SGMS1";"SGMS1"
"ENSSHAT00000000017";NA;NA
"ENSSHAT00000000018";NA;NA
"ENSSHAT00000000019";NA;NA
"ENSSHAT00000000020";"MPHOSPH8";"MPHOSPH8"
"ENSSHAT00000000021";"MPHOSPH8";"MPHOSPH8"
"ENSSHAT00000000022";"SPTBN4";"SPTBN4"
"ENSSHAT00000000023";NA;NA
"ENSSHAT00000000024";NA;NA
"ENSSHAT00000000025";NA;NA
"ENSSHAT00000000026";NA;NA
"ENSSHAT00000000027";"HEBP2";"HEBP2"
"ENSSHAT00000000028";"TBC1D10C";"TBC1D10C"
"ENSSHAT00000000029";"C19orf35";"C19orf35"
"ENSSHAT00000000030";"FCER1A";"FCER1A"
"ENSSHAT00000000031";"FCER1A";"FCER1A"
"ENSSHAT00000000032";NA;NA
"ENSSHAT00000000033";"GDF15";"GDF15"
"ENSSHAT00000000034";"GDF6";"GDF6"
"ENSSHAT00000000035";"GDF6";"GDF6"
"ENSSHAT00000000036";NA;NA
"ENSSHAT00000000037";"STRN4";"STRN4"
"ENSSHAT00000000038";NA;NA
"ENSSHAT00000000039";"OSCAR";"OSCAR"
"ENSSHAT00000000040";"SRPK3";"SRPK3"
"ENSSHAT00000000041";"CHUK";"CHUK"
"ENSSHAT00000000042";"CHUK";"CHUK"
"ENSSHAT00000000043";"CCDC172";"CCDC172"
"ENSSHAT00000000044";"TRIP4";"TRIP4"
"ENSSHAT00000000045";"ATP5S";"ATP5S"
