"Contig" "Length" "Chromosome_Position"
"Chr1_supercontig_000000000" 2180112 2180112
"Chr1_supercontig_000000001" 373546 2553658
"Chr1_supercontig_000000002" 1075293 3628951
"Chr1_supercontig_000000003" 174856 3803807
"Chr1_supercontig_000000004" 817733 4621540
"Chr1_supercontig_000000005" 3669695 8291235
"Chr1_supercontig_000000006" 1117890 9409125
"Chr1_supercontig_000000007" 2046010 11455135
"Chr1_supercontig_000000008" 614705 12069840
"Chr1_supercontig_000000009" 250361 12320201
"Chr1_supercontig_000000010" 1131293 13451494
"Chr1_supercontig_000000011" 3334039 16785533
"Chr1_supercontig_000000012" 2139355 18924888
"Chr1_supercontig_000000013" 594981 19519869
"Chr1_supercontig_000000014" 623052 20142921
"Chr1_supercontig_000000015" 2105342 22248263
"Chr1_supercontig_000000016" 1221480 23469743
"Chr1_supercontig_000000017" 1061372 24531115
"Chr1_supercontig_000000018" 481395 25012510
"Chr1_supercontig_000000019" 279951 25292461
"Chr1_supercontig_000000020" 335932 25628393
"Chr1_supercontig_000000021" 184405 25812798
"Chr1_supercontig_000000022" 687882 26500680
"Chr1_supercontig_000000023" 188029 26688709
"Chr1_supercontig_000000024" 3540533 30229242
"Chr1_supercontig_000000025" 330155 30559397
"Chr1_supercontig_000000026" 3752149 34311546
"Chr1_supercontig_000000027" 445838 34757384
"Chr1_supercontig_000000028" 1230044 35987428
"Chr1_supercontig_000000029" 1606988 37594416
"Chr1_supercontig_000000030" 664195 38258611
"Chr1_supercontig_000000031" 410707 38669318
"Chr1_supercontig_000000032" 642016 39311334
"Chr1_supercontig_000000033" 3605697 42917031
"Chr1_supercontig_000000034" 2665210 45582241
"Chr1_supercontig_000000035" 1500658 47082899
"Chr1_supercontig_000000036" 820059 47902958
"Chr1_supercontig_000000037" 461401 48364359
"Chr1_supercontig_000000038" 2182101 50546460
"Chr1_supercontig_000000039" 4562494 55108954
"Chr1_supercontig_000000040" 4406369 59515323
"Chr1_supercontig_000000041" 4688437 64203760
"Chr1_supercontig_000000042" 1659283 65863043
"Chr1_supercontig_000000043" 725661 66588704
"Chr1_supercontig_000000044" 41089 66629793
"Chr1_supercontig_000000045" 961977 67591770
"Chr1_supercontig_000000046" 1248112 68839882
"Chr1_supercontig_000000047" 1500746 70340628
"Chr1_supercontig_000000048" 1596898 71937526
"Chr1_supercontig_000000049" 3066679 75004205
"Chr1_supercontig_000000050" 1234740 76238945
"Chr1_supercontig_000000051" 4277935 80516880
"Chr1_supercontig_000000052" 4446849 84963729
"Chr1_supercontig_000000053" 4537969 89501698
"Chr1_supercontig_000000054" 4765182 94266880
"Chr1_supercontig_000000055" 830199 95097079
"Chr1_supercontig_000000056" 310723 95407802
"Chr1_supercontig_000000057" 2390959 97798761
"Chr1_supercontig_000000058" 53385 97852146
"Chr1_supercontig_000000059" 565618 98417764
"Chr1_supercontig_000000060" 3786961 102204725
"Chr1_supercontig_000000061" 122100 102326825
"Chr1_supercontig_000000062" 2048676 104375501
"Chr1_supercontig_000000063" 1502829 105878330
"Chr1_supercontig_000000064" 353625 106231955
"Chr1_supercontig_000000065" 3981504 110213459
"Chr1_supercontig_000000066" 94532 110307991
"Chr1_supercontig_000000067" 34045 110342036
"Chr1_supercontig_000000068" 3146181 113488217
"Chr1_supercontig_000000069" 851651 114339868
"Chr1_supercontig_000000070" 2768218 117108086
"Chr1_supercontig_000000071" 2384219 119492305
"Chr1_supercontig_000000072" 3839433 123331738
"Chr1_supercontig_000000073" 1289913 124621651
